"transaction_id","merchant_id","customer_id","customer_age","amount","transaction_amount_clean","location","purchase_category","transaction_time","transaction_year","transaction_month","transaction_day","transaction_hour","transaction_minute","transaction_second","is_fraudulent","card_type_MasterCard","card_type_Rupay","card_type_Visa","fraud_type_Identity theft","fraud_type_Malware","fraud_type_Payment card fraud","fraud_type_phishing","fraud_type_scam"
19,2047,500558,28,15926.13,15926.13,"Chennai","Digital","03/05/2024 05:55",2024,3,5,5,55,0,0,0,1,0,1,0,0,0,0
20,2071,935897,43,2319.39,2319.39,"Pune","Digital","09/06/2023 20:03",2023,9,6,20,3,0,0,1,0,0,0,1,0,0,0
21,2022,315005,40,2159.85,2159.85,"Mumbai","Digital","09/08/2023 13:08",2023,9,8,13,8,0,0,0,1,0,1,0,0,0,0
22,2046,464958,44,6742.186,6742.186,"Chennai","Digital","10/10/2023 13:28",2023,10,10,13,28,0,0,0,1,0,0,0,0,0,1
23,2089,115377,43,4139.73,4139.73,"Surat","Digital","11/17/2023 06:42",2023,11,17,6,42,0,0,1,0,0,0,0,0,1,0
24,2045,972563,23,10087.944,10087.944,"Jaipur","Digital","02/28/2024 13:35",2024,2,28,13,35,0,0,1,0,0,0,1,0,0,0
25,2011,919876,55,10806.276,10806.276,"Delhi","Digital","10/13/2023 08:32",2023,10,13,8,32,0,0,0,0,1,0,1,0,0,0
26,2089,491228,19,3566.54,3566.54,"Ahmedabad","POS","02/11/2024 12:43",2024,2,11,12,43,0,0,0,0,1,0,0,0,0,1
28,2061,207435,37,7816.23,7816.23,"","Digital","02/19/2024 22:21",2024,2,19,22,21,0,0,1,0,0,0,0,0,1,0
29,2081,571808,42,6038.086,6038.086,"Bangalore","Digital","12/10/2023 23:28",2023,12,10,23,28,0,0,1,0,0,0,0,0,0,1
30,2088,766497,32,14823.018,14823.018,"Hyderabad","Digital","02/20/2024 01:56",2024,2,20,1,56,0,1,1,0,0,1,0,0,0,0
31,2096,836156,66,4692.82,4692.82,"Kolkata","Digital","10/08/2023 21:06",2023,10,8,21,6,0,0,0,1,0,0,1,0,0,0
32,2059,470802,46,7361.332,7361.332,"Hyderabad","Digital","03/15/2024 19:46",2024,3,15,19,46,0,1,1,0,0,1,0,0,0,0
33,2042,554435,25,1801.044,1801.044,"Pune","","11/23/2023 05:42",2023,11,23,5,42,0,0,1,0,0,0,1,0,0,0
34,2075,315537,54,9386.1,9386.1,"Jaipur","POS","02/25/2024 00:47",2024,2,25,0,47,0,0,1,0,0,0,0,1,0,0
35,2099,494874,66,4545.09,4545.09,"Delhi","POS","02/14/2024 19:57",2024,2,14,19,57,0,0,1,0,0,0,1,0,0,0
603,2067,559002,69,9713.1375,9713.1375,"Ahmedabad","POS","02/03/2024 02:15",2024,2,3,2,15,0,1,0,1,0,0,0,0,1,0
603,2004,859536,50,6038.086,6038.086,"Surat","Digital","11/12/2023 20:09",2023,11,12,20,9,0,0,0,0,1,0,0,0,0,1
38,2036,663473,39,6038.086,6038.086,"Ahmedabad","Digital","10/30/2023 00:06",2023,10,30,0,6,0,0,0,0,1,0,0,0,1,0
39,2071,771430,67,14247.4695,14247.4695,"Jaipur","Digital","01/25/2024 05:11",2024,1,25,5,11,0,0,0,0,1,0,0,1,0,0
603,2091,371258,64,2206.56,2206.56,"Surat","Digital","11/08/2023 17:28",2023,11,8,17,28,0,0,0,0,1,0,0,0,1,0
41,2030,100184,22,1002.36,1002.36,"Surat","Digital","12/08/2023 21:01",2023,12,8,21,1,0,0,0,0,1,0,0,0,0,0
42,2008,721575,56,285.2,285.2,"Pune","Digital","11/12/2023 19:17",2023,11,12,19,17,0,0,0,0,0,0,0,0,0,1
43,2050,652898,35,6437.62,6437.62,"Jaipur","Digital","01/03/2024 19:31",2024,1,3,19,31,0,1,0,0,0,0,0,1,0,0
44,2028,344280,55,7308.708,7308.708,"Chennai","POS","03/19/2024 17:18",2024,3,19,17,18,0,0,0,1,0,0,0,0,0,1
45,2077,928927,24,6038.086,6038.086,"Hyderabad","Digital","11/14/2023 06:18",2023,11,14,6,18,0,1,0,1,0,0,0,1,0,0
46,2039,775029,47,2829.444,2829.444,"Bangalore","Digital","12/30/2023 07:28",2023,12,30,7,28,0,0,0,0,1,0,0,0,1,0
47,2040,685070,68,4727.412,4727.412,"Ahmedabad","Digital","03/15/2024 20:44",2024,3,15,20,44,0,0,0,0,1,0,0,0,1,0
48,2085,554435,48,5965.04,5965.04,"Chennai","Digital","10/14/2023 11:36",2023,10,14,11,36,0,1,0,0,1,0,0,0,0,1
49,2010,732998,27,4992.83,4992.83,"Bangalore","Digital","10/11/2023 17:36",2023,10,11,17,36,0,0,1,0,0,0,0,0,0,0
51,2000,488045,59,1407.58,1407.58,"Kolkata","POS","11/22/2023 09:30",2023,11,22,9,30,0,1,0,0,1,0,0,0,1,0
52,2045,202454,65,6966.69,6966.69,"Ahmedabad","POS","10/17/2023 14:50",2023,10,17,14,50,0,1,1,0,0,0,0,0,1,0
53,2020,105140,61,4072.97,4072.97,"Pune","POS","10/10/2023 12:28",2023,10,10,12,28,0,0,0,1,0,1,0,0,0,0
54,2089,146322,35,6038.086,6038.086,"Bangalore","POS","11/08/2023 03:14",2023,11,8,3,14,0,0,1,0,0,0,0,0,1,0
55,2035,367959,40,7190.1,7190.1,"Surat","Digital","01/25/2024 08:11",2024,1,25,8,11,0,0,1,0,0,0,0,0,1,0
56,2053,256626,50,6038.086,6038.086,"Chennai","POS","09/19/2023 09:04",2023,9,19,9,4,0,1,0,0,1,0,0,0,1,0
57,2086,735230,33,11895.6,11895.6,"Hyderabad","","09/11/2023 20:17",2023,9,11,20,17,0,1,0,1,0,0,0,0,1,0
58,2056,103361,55,1460.272,1460.272,"Pune","Digital","09/15/2023 13:25",2023,9,15,13,25,0,1,1,0,0,0,0,0,0,1
59,2000,825628,43,1628.835,1628.835,"Ahmedabad","Digital","12/19/2023 05:24",2023,12,19,5,24,0,0,0,1,0,0,0,0,1,0
61,2053,802751,45,5804.95,5804.95,"Chennai","Digital","11/26/2023 19:29",2023,11,26,19,29,0,0,0,1,0,0,0,1,0,0
62,2054,108281,19,4166.85,4166.85,"Pune","Digital","03/18/2024 23:20",2024,3,18,23,20,0,0,1,0,0,0,0,0,0,1
63,2039,652304,47,1386.363,1386.363,"Kolkata","POS","10/16/2023 04:09",2023,10,16,4,9,0,0,1,0,0,1,0,0,0,0
64,2014,141227,30,1488.795,1488.795,"Ahmedabad","Digital","03/05/2024 23:09",2024,3,5,23,9,0,0,0,1,0,0,0,0,1,0
603,2020,808232,58,13420.8,13420.8,"Delhi","Digital","12/08/2023 01:37",2023,12,8,1,37,0,1,1,0,0,1,0,0,0,0
66,2046,906548,33,2938.62,2938.62,"Hyderabad","Digital","03/14/2024 02:12",2024,3,14,2,12,0,0,1,0,0,0,0,0,0,1
67,2072,422454,22,5881.59,5881.59,"Delhi","Digital","11/09/2023 04:54",2023,11,9,4,54,0,1,1,0,0,1,0,0,0,0
69,2008,554435,56,6447.978,6447.978,"Jaipur","Digital","10/24/2023 04:32",2023,10,24,4,32,0,0,0,0,1,0,0,1,0,0
71,2047,335778,37,7821.96,7821.96,"Hyderabad","POS","10/08/2023 23:29",2023,10,8,23,29,0,1,0,1,0,0,0,0,0,1
72,2056,801702,41,722.75,722.75,"Chennai","Digital","03/12/2024 11:15",2024,3,12,11,15,0,0,0,0,1,0,0,1,0,0
73,2025,423573,44,6038.086,6038.086,"Bangalore","Digital","12/11/2023 18:11",2023,12,11,18,11,0,0,0,1,0,0,1,0,0,0
74,2040,623148,47,3563.16,3563.16,"Jaipur","POS","12/18/2023 03:52",2023,12,18,3,52,0,1,1,0,0,0,0,0,0,1
75,2034,168286,62,8948.148,8948.148,"Mumbai","POS","01/12/2024 00:44",2024,1,12,0,44,0,0,1,0,0,0,0,1,0,0
76,2062,808569,44,8806.79,8806.79,"Mumbai","POS","01/02/2024 16:56",2024,1,2,16,56,0,0,0,1,0,0,0,0,0,1
77,2024,605173,43,6038.086,6038.086,"Pune","POS","10/08/2023 09:53",2023,10,8,9,53,0,0,0,0,1,0,0,0,1,0
78,2089,120413,24,9635.274,9635.274,"Pune","Digital","10/06/2023 23:25",2023,10,6,23,25,0,1,0,1,0,0,0,1,0,0
79,2074,582477,59,3277.12,3277.12,"Ahmedabad","Digital","11/26/2023 06:56",2023,11,26,6,56,0,0,0,1,0,0,0,0,0,0
80,2037,391236,64,6038.086,6038.086,"Pune","Digital","03/19/2024 23:10",2024,3,19,23,10,0,1,1,0,0,0,0,1,0,0
82,2006,360153,22,11930.028,11930.028,"Pune","Digital","12/21/2023 07:36",2023,12,21,7,36,0,0,0,1,0,1,0,0,0,0
603,2081,889878,40,10948.245,10948.245,"Kolkata","Digital","12/27/2023 05:50",2023,12,27,5,50,0,1,0,0,1,0,1,0,0,0
84,2090,800196,45,10079.91,10079.91,"Pune","Digital","10/14/2023 23:36",2023,10,14,23,36,0,0,1,0,0,0,0,1,0,0
85,2033,336634,51,6038.086,6038.086,"Delhi","Digital","01/23/2024 02:34",2024,1,23,2,34,0,1,0,0,0,0,1,0,0,0
86,2047,109263,32,4678.8,4678.8,"Surat","Digital","01/08/2024 20:27",2024,1,8,20,27,0,0,1,0,0,0,0,0,1,0
87,2016,211576,49,648.42,648.42,"Kolkata","POS","03/22/2024 15:50",2024,3,22,15,50,0,0,0,0,1,1,0,0,0,0
88,2042,843351,43,6209.335,6209.335,"Chennai","Digital","02/06/2024 21:48",2024,2,6,21,48,0,0,0,1,0,0,0,0,1,0
89,2058,588414,65,11494.044,11494.044,"Ahmedabad","POS","02/03/2024 06:15",2024,2,3,6,15,0,0,1,0,0,1,0,0,0,0
90,2050,531947,48,1794.26,1794.26,"Hyderabad","Digital","11/22/2023 08:01",2023,11,22,8,1,0,0,0,1,0,0,0,1,0,0
91,2053,852397,36,6038.086,6038.086,"Kolkata","Digital","09/08/2023 10:57",2023,9,8,10,57,0,1,1,0,0,0,1,0,0,0
92,2023,554435,43,3688.722,3688.722,"Bangalore","POS","12/03/2023 05:13",2023,12,3,5,13,0,0,0,0,1,1,0,0,0,0
93,2024,370479,46,8072.235,8072.235,"Surat","POS","11/19/2023 23:33",2023,11,19,23,33,0,0,0,0,1,0,0,0,1,0
94,2070,472319,68,1011.93,1011.93,"Delhi","Digital","02/02/2024 22:22",2024,2,2,22,22,0,1,1,0,0,0,1,0,0,0
95,2051,379181,43,6796.785,6796.785,"Mumbai","POS","02/04/2024 00:54",2024,2,4,0,54,0,0,1,0,0,0,0,0,0,1
96,2069,116505,21,11360.745,11360.745,"Delhi","Digital","11/03/2023 00:37",2023,11,3,0,37,0,0,1,0,0,1,0,0,0,0
97,2087,246232,20,3508.34,3508.34,"Pune","Digital","09/20/2023 18:44",2023,9,20,18,44,0,0,0,0,1,0,0,0,1,0
98,2032,159139,46,7999.044,7999.044,"Ahmedabad","Digital","09/27/2023 18:03",2023,9,27,18,3,0,0,1,0,0,1,0,0,0,0
603,2048,665705,69,7964.73,7964.73,"","","09/16/2023 16:50",2023,9,16,16,50,0,0,1,0,0,0,0,0,1,0
100,2028,703242,28,10202.962,10202.962,"Bangalore","Digital","03/14/2024 21:41",2024,3,14,21,41,0,0,0,1,0,1,0,0,0,0
101,2062,327304,50,2384.69,2384.69,"","Digital","02/12/2024 17:26",2024,2,12,17,26,0,1,1,0,0,0,0,0,1,0
102,2021,268680,27,6038.086,6038.086,"Delhi","Digital","03/13/2024 03:55",2024,3,13,3,55,0,0,0,1,0,0,0,0,0,0
103,2025,300039,28,1566.54,1566.54,"Surat","Digital","01/20/2024 17:16",2024,1,20,17,16,0,0,0,1,0,0,0,0,1,0
104,2027,108252,43,17865.378,16304.141875,"Kolkata","Digital","11/14/2023 00:52",2023,11,14,0,52,0,1,0,1,0,0,1,0,0,0
105,2084,536279,43,13910.49,13910.49,"Ahmedabad","POS","01/24/2024 01:04",2024,1,24,1,4,0,1,0,0,1,0,0,0,0,1
106,2047,445963,38,8133.855,8133.855,"Hyderabad","Digital","01/04/2024 01:23",2024,1,4,1,23,0,0,0,1,0,1,0,0,0,0
107,2070,768641,43,8428.23,8428.23,"Mumbai","Digital","02/22/2024 07:36",2024,2,22,7,36,0,0,1,0,0,0,0,0,0,1
108,2080,554435,48,6280.236,6280.236,"Ahmedabad","POS","11/08/2023 13:37",2023,11,8,13,37,0,0,0,0,1,1,0,0,0,0
109,2083,165129,55,9382.02,9382.02,"Pune","Digital","02/27/2024 02:19",2024,2,27,2,19,0,1,0,0,1,0,0,0,0,1
110,2048,348705,63,1405.185,1405.185,"Jaipur","Digital","10/27/2023 04:56",2023,10,27,4,56,0,1,0,0,1,1,0,0,0,0
111,2019,196434,19,6038.086,6038.086,"","Digital","09/03/2023 19:59",2023,9,3,19,59,0,0,0,0,1,0,0,0,1,0
112,2085,893893,44,1320.75,1320.75,"Pune","Digital","12/21/2023 11:02",2023,12,21,11,2,0,0,0,0,1,0,0,0,0,1
114,2062,330554,28,11746.77,11746.77,"Hyderabad","POS","09/23/2023 02:14",2023,9,23,2,14,0,0,0,0,1,0,0,0,1,0
115,2060,772289,64,7102.01,7102.01,"Pune","Digital","10/02/2023 08:45",2023,10,2,8,45,0,0,0,1,0,0,0,0,1,0
116,2048,150397,35,737.64,737.64,"Hyderabad","POS","01/17/2024 04:33",2024,1,17,4,33,0,0,1,0,0,0,0,1,0,0
117,2070,277887,18,5059.1145,5059.1145,"Ahmedabad","POS","12/08/2023 04:42",2023,12,8,4,42,0,0,1,0,0,0,0,1,0,0
118,2000,332717,52,2667.97,2667.97,"Surat","Digital","02/11/2024 21:08",2024,2,11,21,8,0,1,0,1,0,1,0,0,0,0
119,2095,784722,52,4360.032,4360.032,"Mumbai","POS","02/14/2024 15:03",2024,2,14,15,3,0,0,0,1,0,0,0,0,0,1
120,2012,554435,48,1014.255,1014.255,"Mumbai","Digital","02/28/2024 08:31",2024,2,28,8,31,0,0,0,0,1,0,0,0,0,1
121,2093,311504,45,6038.086,6038.086,"Pune","","02/06/2024 06:39",2024,2,6,6,39,0,0,0,0,0,1,0,0,0,0
122,2086,791029,56,6116.363,6116.363,"Pune","POS","09/07/2023 10:01",2023,9,7,10,1,0,0,0,1,0,0,0,0,1,0
124,2055,780035,42,3999.97,3999.97,"Delhi","Digital","12/02/2023 15:42",2023,12,2,15,42,0,0,1,0,0,0,0,0,0,1
125,2082,461158,43,4949.637,4949.637,"Pune","Digital","03/30/2024 10:30",2024,3,30,10,30,0,1,1,0,0,0,0,1,0,0
126,2061,887624,55,7231.092,7231.092,"Hyderabad","","02/17/2024 20:24",2024,2,17,20,24,0,0,0,0,1,0,0,0,0,0
127,2031,924556,37,7771.515,7771.515,"Chennai","POS","02/27/2024 03:22",2024,2,27,3,22,0,0,0,0,1,1,0,0,0,0
128,2029,882252,20,15176.6175,15176.6175,"Mumbai","POS","12/09/2023 23:39",2023,12,9,23,39,0,0,0,0,1,0,0,0,1,0
129,2028,704382,68,5993.748,5993.748,"Pune","Digital","10/06/2023 13:55",2023,10,6,13,55,0,0,1,0,0,0,0,0,0,0
130,2048,995293,19,17859.546,16304.141875,"Ahmedabad","Digital","10/03/2023 00:25",2023,10,3,0,25,0,0,0,0,1,0,0,0,0,1
131,2044,665060,35,6038.086,6038.086,"Bangalore","Digital","03/04/2024 23:16",2024,3,4,23,16,0,0,0,1,0,1,0,0,0,0
132,2092,253438,61,2337.148,2337.148,"Hyderabad","Digital","02/23/2024 11:13",2024,2,23,11,13,0,0,0,0,1,0,0,1,0,0
133,2029,554435,27,10240.362,10240.362,"Mumbai","Digital","03/23/2024 07:22",2024,3,23,7,22,0,0,0,1,0,0,0,0,1,0
134,2015,148881,22,1328.635,1328.635,"Pune","Digital","10/23/2023 09:39",2023,10,23,9,39,0,1,0,0,1,0,1,0,0,0
135,2039,426842,26,8183.62,8183.62,"Surat","POS","03/01/2024 14:19",2024,3,1,14,19,0,1,0,0,1,0,1,0,0,0
136,2018,487524,19,4220.92,4220.92,"Hyderabad","","02/07/2024 20:21",2024,2,7,20,21,0,0,0,0,0,0,0,0,0,1
137,2017,625482,51,9664.424,9664.424,"Delhi","Digital","10/05/2023 15:38",2023,10,5,15,38,0,0,0,1,0,0,1,0,0,0
138,2000,554435,55,9555.876,9555.876,"Pune","POS","02/26/2024 22:54",2024,2,26,22,54,0,0,0,1,0,0,0,0,0,1
139,2047,395601,48,12103.44,12103.44,"Hyderabad","Digital","12/18/2023 04:29",2023,12,18,4,29,0,1,0,1,0,0,0,0,0,1
140,2046,408619,27,8701.88,8701.88,"Pune","POS","12/02/2023 07:11",2023,12,2,7,11,0,0,1,0,0,1,0,0,0,0
141,2065,552276,67,5546.808,5546.808,"Jaipur","POS","03/27/2024 23:25",2024,3,27,23,25,0,0,0,1,0,1,0,0,0,0
142,2091,236003,29,940.665,940.665,"Bangalore","Digital","10/05/2023 22:37",2023,10,5,22,37,0,0,1,0,0,0,0,0,0,1
143,2093,460715,53,4871.58,4871.58,"Kolkata","Digital","01/08/2024 10:09",2024,1,8,10,9,0,0,0,0,1,0,0,1,0,0
144,2047,786553,38,2131.884,2131.884,"","Digital","01/07/2024 19:34",2024,1,7,19,34,0,1,0,0,1,0,0,1,0,0
145,2047,507122,66,8357.712,8357.712,"Jaipur","Digital","12/08/2023 08:06",2023,12,8,8,6,0,0,0,1,0,0,1,0,0,0
603,2062,304058,64,3493.69,3493.69,"Hyderabad","Digital","02/25/2024 14:03",2024,2,25,14,3,0,0,0,0,1,0,1,0,0,0
147,2003,917225,23,9757.32,9757.32,"Delhi","Digital","01/27/2024 21:04",2024,1,27,21,4,0,0,0,0,1,0,0,0,0,1
148,2000,280587,43,9641.505,9641.505,"Pune","Digital","11/07/2023 05:21",2023,11,7,5,21,0,1,0,1,0,1,0,0,0,0
149,2007,284084,66,9057.048,9057.048,"Hyderabad","Digital","11/11/2023 13:11",2023,11,11,13,11,0,0,0,0,1,1,0,0,0,0
151,2054,826491,43,8627.04,8627.04,"Delhi","POS","10/25/2023 20:05",2023,10,25,20,5,0,0,0,1,0,1,0,0,0,0
152,2002,799456,22,13847.145,13847.145,"Surat","Digital","01/29/2024 05:41",2024,1,29,5,41,0,0,0,0,1,0,0,0,0,1
153,2031,266723,63,5385.897,5385.897,"Jaipur","Digital","03/22/2024 21:44",2024,3,22,21,44,0,0,0,0,1,0,0,0,1,0
603,2009,765679,43,6082.22,6082.22,"Ahmedabad","Digital","03/01/2024 06:18",2024,3,1,6,18,0,0,0,0,1,1,0,0,0,0
155,2073,751731,38,6038.086,6038.086,"","POS","09/28/2023 05:15",2023,9,28,5,15,0,1,0,0,1,1,0,0,0,0
156,2082,383598,62,2684.46,2684.46,"Kolkata","Digital","02/27/2024 00:41",2024,2,27,0,41,0,0,0,0,1,0,1,0,0,0
157,2033,582159,43,5050.53,5050.53,"Pune","Digital","10/25/2023 21:33",2023,10,25,21,33,0,0,0,0,0,0,1,0,0,0
158,2096,578099,55,4016.7,4016.7,"Bangalore","POS","11/20/2023 13:57",2023,11,20,13,57,0,1,0,0,1,0,0,1,0,0
159,2086,730031,43,1657.062,1657.062,"Jaipur","Digital","03/07/2024 10:28",2024,3,7,10,28,0,0,0,0,0,0,1,0,0,0
160,2054,876496,43,4448.364,4448.364,"Hyderabad","POS","10/13/2023 11:45",2023,10,13,11,45,0,0,0,1,0,1,0,0,0,0
161,2091,302810,25,1092.465,1092.465,"Jaipur","","01/23/2024 05:52",2024,1,23,5,52,0,0,0,0,0,0,0,0,1,0
162,2031,153259,22,506.2695,506.2695,"Hyderabad","Digital","10/03/2023 03:15",2023,10,3,3,15,0,0,0,0,1,0,0,0,1,0
164,2006,967047,33,11559.6,11559.6,"Ahmedabad","Digital","12/14/2023 09:59",2023,12,14,9,59,0,1,0,1,0,0,1,0,0,0
165,2092,143241,18,6038.086,6038.086,"Chennai","Digital","01/22/2024 12:31",2024,1,22,12,31,0,0,1,0,0,1,0,0,0,0
166,2007,471240,33,10625.923,10625.923,"Bangalore","POS","09/27/2023 08:38",2023,9,27,8,38,0,0,1,0,0,0,0,0,0,1
167,2064,750403,54,5224.02,5224.02,"Hyderabad","Digital","10/27/2023 11:34",2023,10,27,11,34,0,1,0,0,1,0,0,0,0,1
168,2047,937752,20,3152.57,3152.57,"","Digital","03/05/2024 07:52",2024,3,5,7,52,0,0,0,0,1,0,0,0,0,1
169,2066,683025,69,7629.165,7629.165,"Delhi","Digital","01/26/2024 05:52",2024,1,26,5,52,0,0,0,0,1,0,0,0,0,1
170,2087,847727,64,6634.71,6634.71,"Jaipur","Digital","01/02/2024 01:50",2024,1,2,1,50,0,0,0,0,1,0,0,1,0,0
171,2086,638836,48,1982.448,1982.448,"Pune","Digital","10/21/2023 23:18",2023,10,21,23,18,0,0,0,1,0,1,0,0,0,0
172,2058,189802,30,7068.842,7068.842,"Mumbai","Digital","12/07/2023 21:28",2023,12,7,21,28,0,0,0,0,1,0,0,0,1,0
173,2071,671201,33,3299.37,3299.37,"Delhi","Digital","01/18/2024 05:00",2024,1,18,5,0,0,1,0,1,0,1,0,0,0,0
174,2053,501175,60,7457.88,7457.88,"Surat","Digital","03/22/2024 14:01",2024,3,22,14,1,0,1,0,0,1,1,0,0,0,0
175,2066,144823,38,7823.4,7823.4,"Kolkata","Digital","09/26/2023 20:03",2023,9,26,20,3,0,0,1,0,0,1,0,0,0,0
176,2050,622438,19,1562.65,1562.65,"Mumbai","Digital","09/04/2023 11:03",2023,9,4,11,3,0,0,1,0,0,0,0,0,1,0
177,2096,490672,44,990.645,990.645,"Ahmedabad","Digital","10/16/2023 02:08",2023,10,16,2,8,0,1,0,0,1,0,1,0,0,0
178,2091,372411,55,11727.87,11727.87,"Jaipur","","10/20/2023 04:53",2023,10,20,4,53,0,0,0,0,1,0,0,0,1,0
179,2007,299013,43,5087.511,5087.511,"Chennai","POS","12/12/2023 19:05",2023,12,12,19,5,0,0,0,0,0,0,0,1,0,0
180,2033,116785,43,628.73,628.73,"Ahmedabad","Digital","11/29/2023 20:54",2023,11,29,20,54,0,1,0,0,1,1,0,0,0,0
182,2095,561621,42,624.92,624.92,"Mumbai","Digital","10/11/2023 14:42",2023,10,11,14,42,0,0,0,0,1,0,0,0,0,1
183,2087,288871,28,6965.6,6965.6,"Kolkata","POS","11/14/2023 18:45",2023,11,14,18,45,0,0,1,0,0,0,0,0,1,0
184,2077,328572,25,9837.61,9837.61,"Pune","","10/21/2023 20:46",2023,10,21,20,46,0,0,0,0,0,0,0,0,1,0
185,2031,933114,25,2672.824,2672.824,"Chennai","Digital","10/04/2023 10:19",2023,10,4,10,19,0,0,1,0,0,0,0,1,0,0
186,2045,554435,50,1611.918,1611.918,"Bangalore","Digital","10/07/2023 11:24",2023,10,7,11,24,0,0,0,1,0,0,0,0,1,0
187,2015,899885,24,1257.78,1257.78,"Jaipur","POS","10/12/2023 19:11",2023,10,12,19,11,0,0,1,0,0,0,0,0,1,0
603,2067,554435,55,3067.59,3067.59,"Hyderabad","Digital","03/26/2024 12:28",2024,3,26,12,28,0,0,0,0,1,0,0,1,0,0
189,2036,554435,38,1583.115,1583.115,"Jaipur","Digital","01/14/2024 01:48",2024,1,14,1,48,0,1,1,0,0,0,1,0,0,0
190,2053,807678,25,6937.01,6937.01,"Ahmedabad","","03/07/2024 08:38",2024,3,7,8,38,0,1,0,0,0,1,0,0,0,0
191,2084,972708,68,1004.7,1004.7,"Mumbai","Digital","02/07/2024 23:43",2024,2,7,23,43,0,0,0,1,0,0,0,0,1,0
192,2013,954155,38,7678.125,7678.125,"Ahmedabad","POS","11/08/2023 00:40",2023,11,8,0,40,0,0,0,1,0,0,1,0,0,0
193,2094,390586,37,10963.843,10963.843,"","POS","02/16/2024 20:09",2024,2,16,20,9,0,0,1,0,0,0,0,0,0,1
195,2047,913089,63,9257.145,9257.145,"Kolkata","Digital","11/19/2023 03:43",2023,11,19,3,43,0,0,0,1,0,0,0,0,0,0
196,2081,187205,48,4645.83,4645.83,"Bangalore","Digital","02/14/2024 00:52",2024,2,14,0,52,0,0,0,1,0,0,1,0,0,0
197,2006,554435,67,9386.64,9386.64,"Pune","POS","02/27/2024 03:54",2024,2,27,3,54,0,1,0,1,0,1,0,0,0,0
198,2073,702484,46,6352.872,6352.872,"Delhi","POS","02/19/2024 14:30",2024,2,19,14,30,0,0,0,1,0,0,0,0,0,0
199,2006,881954,65,4718.483,4718.483,"Kolkata","POS","09/27/2023 18:49",2023,9,27,18,49,0,0,0,0,0,0,1,0,0,0
200,2032,758784,26,1350.57,1350.57,"Pune","POS","12/23/2023 18:31",2023,12,23,18,31,0,1,0,1,0,0,0,0,1,0
201,2022,688115,32,8871.71,8871.71,"Chennai","Digital","11/11/2023 11:11",2023,11,11,11,11,0,0,0,0,1,0,0,0,1,0
203,2018,701914,43,2979.735,2979.735,"Ahmedabad","Digital","02/16/2024 00:56",2024,2,16,0,56,0,0,1,0,0,1,0,0,0,0
